 "title" , "beschrijving" ,
 "Ringspinmachine of spincontinu van het merk Howard & Bullough" , "Rond 1830 worden in de VS de eerste ringspinners ontwikkeld. Maar het duurt tot de in jaren 1840-1850 voor de eerste commercieel bruikbare machines opduiken. Bovendien verloopt de introductie ervan in Europa met enige vertraging. Ringspinnen heeft een aantal voordelen ten opzichte van het self-actor spinnen. De machine verbruikt minder energie. Het wisselen van de spoelen kan sneller en het torsen en opwinden van de draad verloopt in één continue beweging. Beide machines leveren echter een verschillende soort draad. Zo is de draad van een ringspinner meer getorst maar vaak regelmatiger gesponnen dan bij een self-actor. De ringspinner vraagt geen kracht, maar wel behendigheid en uithouding. Vrouwen en jonge meisjes worden als spinster en goedkope arbeidskrachten ingeschakeld om aan de machines te werken.

Deze ringspinmachine werd in 1899 geproduceerd door Howard & Bullough Ltd. In 1931 wordt de firma opgenomen in het grotere geheel van de Textile Machinery Makers Ltd." ,
 "Lichtkooi van gaslantaarn voor openbare verlichting" , "Ronde lantaarn voor straatverlichting op gas. Beugel uit buizen voor de gastoevoer en met klokvormige koperen kap. De glazen stolp ontbreekt. Bevestigingssysteem voor 3 hangende gloeikousjes. De basis van de beugel is voorzien van een mechanische timer om de gastoevoer te regelen. Oorspronkelijk op een lantaarnpaal bevestigd." ,
 "Gietijzeren handpers geproduceerd door Gouy" , "Gietijzeren hoogdruk handpers met houten voet uit het begin van de 19e eeuw, gemaakt door de Brusselse constructeur L. Gouy, model n° 2. Dit model vertoont gelijkenissen met de Stanhope pers, uitgevonden door Lord Stanhope in 1803." ,
 "Telegraaf of morsetelegraaf van het merk Richez" , "Telegraaf of morsetoestel van het merk Richez & Cie, type R1000. Een telegrafist seint of zendt met een seinsleutel of morsesleutel een gecodeerd bericht. Zijn collega die het bericht ontvangt zet het gecodeerde bericht terug om naar leesbare tekst en bezorgt dit aan de geadresseerde. De Belgische Regie der Telegraaf en Telefonie (RTT) gebruikt dit toestel tot kort na de Tweede Wereldoorlog. Het mechanisme werkt met een op te winden veermotor, ingewerkt in een messing behuizing. De veermotor drijft een papierband aan. Een elektromagneet bestaande uit twee cilinders zet de elektrische signalen van het verzonden bericht om in bewegingen die de inktschrijver aanstuurt. De inktschrijver beweegt over het papier en registreert zo het ontvangen bericht onder de vorm van korte of lange inktstrepen." ,
 "Doos waspoeder van het merk Omo" , "Waspoeder van het merk Omo, te gebruiken voor het schoonmaken van wasgoed maar ook om de vaat te doen. Geproduceerd door Savonneries Lever Frères. Verpakking van 150 gram. Met Nederlandstalige en Franstalige tekst en gebruiksaanwijzing op de zijkant van de doos. Werd op de markt gebracht eind 1951-begin 1952. De verpakking is vermoedelijk ontworpen door Raymond Loewy." ,
 "Personeel blikslagerij Tessens in Gent" , "Centraal op de foto zit wellicht de directeur, geflankeerd door arbeiders en arbeidsters in werkkledij. Vooraan jongen met bord waarop geschreven staat: 'Blikslagerij De We D. Tessens Gent 1901'." ,
 "Kleine degelpers van het merk Adana" , "Kleine manuele degelpers, tafelmodel, van het merk Adana Printing Machines Ltd, type 8x5. Voornamelijk gebruikt voor hobby doeleinden. De pers is voorzien van vier zetramen en negen klemmen (7 klein en 2 groot)." ,
 "Primusbrander van het merk Les Fonderies Bruxelloises" , "Klein geëmailleerd kookvuur op spiritus met 1 brander. Van het merk Les Fonderies Bruxelloises, type l'Econome." ,
 "Binnenzicht van drukkerij Gebroeders Meere te Gent" , "Interieur van de drukkerij van de Gebroeders Meere aan de Ham te Gent. Met een cilinderpers en degelpers voorzien van een aandrijfriem en twee man aan het werk." ,
 "Machinezaal van spinnerij Cotonnière des Flandres met tandem-compound stoommachine van het merk Van den Kerchove" , "Interieur van de machinezaal van spinnerij Cotonnière des Flandres, aan de Kempstraat in Gent - België, met een tandem-compund stoommachine van het merk Van den Kerchove - Anciens Ateliers de Construction.
Voor de transmissie vanaf het vliegwiel werd gebruik gemaakt van kabels of snaren in plaats van riemen. Tijdens de opname draaide de machine." ,
 "Binnenzicht spinnerij met twijnmolens" , "Jonge arbeiders en arbeidsters poseren bij en op de twijnmolens in een spinnerij, wellicht het textielbedrijf Filature & retorderie de coton Georges & Max Van Acker in Gent. De twijnmolens noemt men op de werkvloer vaak 'de retords'. De machines worden aangedreven via aandrijfriemen die verbonden zijn met een centrale transmissie-as." ,
 "Mule Jenny of Spinning Mule" , "Deze halfautomatische spinmachine staat symbool voor de eerste industriële revolutie in Vlaanderen. Ze werd op punt gesteld door Samuel Crompton en  combineert de technische basisprincipes van de spinning jenny van Hargreaves en het 'waterframe' van Arkwright. Het is de voorloper van de volautomatische spinmachine of self-actor. De Gentse ondernemer Lieven Bauwens smokkelde de eerste Mule Jenny uit Engeland naar het vasteland. De machine in het Industriemuseum kan 29 draden tegelijk spinnen en dateert vermoedelijk uit ca. 1810." ,
 "Buitenzicht van textielfabriek La Lys in Gent" , "Fabrieksgebouwen van vlasspinnerij La Lys nv, gelegen tussen de Leiekaai en Nieuwewandeling in Gent. Waar zich voorheen de fabriek bevond vinden we vandaag het Groenevalleipark. Naast vlas worden in de fabriek ook jute en hennep tot garen gesponnen." ,
 "Buitenzicht van afbraak textielfabriek La Lys in Gent" , "Fabrieksgebouwen van vlasspinnerij La Lys nv, gelegen tussen de Leiekaai en Nieuwewandeling in Gent. Waar zich voorheen de fabriek bevond vinden we vandaag het Groenevalleipark. Naast vlas worden in de fabriek ook jute en hennep tot garen gesponnen. Foto uit een album van bouwfirma Serck over de afbraak en bouw van fabrieksgebouwen." ,
 "Machinezaal van de textielfabriek Lousbergs" , "Deze centrale machine leverde de drijfkracht voor het volledige bedrijf. Voor alle textielmachines en tevens voor een grote goederenlift." ,
 "Doos waspoeder van het merk Udi" , "Waspoeder van het merk Udi. Geproduceerd door Tensia nv. Verpakking van 240 gram. Met Nederlandse en Franse tekst." ,
 "Vaste haspel of garenwinder" , "Houten molen om garen op te winden. Een garenwinder wordt gebruikt om een streng garen of wol tot een bol te winden of met een handrad op spoelen te zetten." ,
 "Gaskachel van het merk AP" , "Geëmailleerde kachel op gas van het merk AP." ,
 "Spoel met inslaggaren voor passement" , "Spoel in kunststof omwonden met polyester garen met de kleur sterk zilver." ,
 "Gloeilamp van het merk Sigtay" , "Elektrische lamp met schroeffitting en matte witte ballon in glas (peer) van het merk Sigtay, type E27 Perle. Bewaard in originele verpakking van golfkarton.
Technisch: 26V - 100W." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: peer met vlakken, gesatineerd met roulé-barré. Rok: torse moulinée. Kleur: rood." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: omgekeerde koepel gesatineerd, peer gerold met tros. Keel: chardon bouclé. Rok: gesneden. Kleur: lichtblauw en lichtroze." ,
 "Doos waspoeder van het merk Sunil" , "Waspoeder van het merk Sunil, type K7. Geproduceerd door Savonneries Lever Frères. Verpakking van 425 gram. Met Nederlandse en Franse tekst en gebruiksaanwijzing op de zijkant van de doos." ,
 "Gasfornuis van het merk Fobrux" , "Geëmailleerd gasfornuis op onderstel met 3 branders en oven. Van het merk Les Fonderies Bruxelloises." ,
 "Elektrische straalkachel van het merk Nestor Martin" , "Verplaatsbare geëmailleerde kachel op elektriciteit van het merk Nestor Martin, type G 11 G-serie III.
Technisch: 220V - 1000W." ,
 "Gasfornuis van het merk Godin" , "Geëmailleerd gasfornuis met 4 branders en oven. Tafelmodel met rugplaat. Van het merk Godin." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: turkse knoop, chardon bouclé, flèche gerold met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: lichtgeel." ,
 "Gland of kwast met vorm, keel en rok" , "Kwast bestaande uit lus, gevlochten galon, chardon bouclé met rozetten, platte peer gerold met passé en croix. Keel: chardon bouclé met rozetten. Rok: torse moulinée omgeven door mèches. Kleur: donkerroze." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: peer gesatineerd met tros. Rok: torse moulinée. Kleur: mauve, rood en wit." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: chardon bouclé, peer gesatineerd met tros. Keel: rol gerold met mèches à balai. Rok: gesneden. Kleur: lichtblauw en lichtroze." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, kwasten: chardon bouclé, koepel gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée. Kleur: blauw en bruin." ,
 "Indisch spinnewiel voor katoen" , "Indisch spinnewiel voor katoen in fraai versierd hout. Daar waar bij het oude en het Saksisch spinnewiel de spinster plaats neemt op een laag zitje, zit de bediener(-ster) van het Indisch spinnewiel dwars voor het spinnewiel op de grond. Naargelang de positie van de spil kan het spinnen door één of twee personen gebeuren. In de huidige stand wordt het rad, door bijvoorbeeld een kind, in beweging gebracht. De spinster neemt in dit geval aan de andere zijde van het spinnewiel plaats en heeft beide handen vrij om de vezels naar het spinnewiel te geleiden." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: pain de sucre, gesatineerd met tros, bovenaan chardon bouclé. Keel: chardon bouclé. Rok: torse moulinée. Kleur: geel." ,
 "Verbruiksmeter voor gas van het merk EGEA met muntstukken" , "Ronde natte gasteller van het merk EGEA (Eau - Gaz - Électricité - Applications) met muntstukken van 1,00 Bf. Het mechanisme met de munten is van het merk Sigma.
Technisch: 10 becs - 1400 liter/u." ,
 "Houten mal of vorm voor hoedenrand" , "Ovalen hoedenmal die gebruikt wordt om hoedenranden op vorm te maken. Aan de bovenzijde 2 metalen pinnen om volgende ondedeel vast te zetten.
Omtrek: 72 cm." ,
 "Houten mal of vorm voor hoedenrand" , "Ovalen hoedenmal met in het midden een opening die gebruikt wordt om hoedenranden op vorm te maken." ,
 "Geëmailleerd zeepbakje" , "Model om aan een wand te bevestigen." ,
 "Spuitbus met reinigingscrème van het merk Derma-'K'len" , "Spuitbus met reinigingscrème voor de handen. Te gebruiken zonder water. Gebruikt als atelierzeep om bijvoorbeeld vet, olie en teer te verwijderen. Product van het merk Derma-'K'len, geproduceerd door Kernite.  Verpakking van 400 ml. Tekst in het Frans en het Nederlands. Met gebruiksaanwijzing op de achterzijde van de spuitbus." ,
 "Gaskachel zonder merk" , "Geëmailleerde kachel op gas zonder merk. Met bijhorende vloerplaat (niet op foto)." ,
 "Frange als onderdeel voor het vervaardigen van passement" , "Kop: galon met figuratief motief. Rok: cousu eindigend op mèches. Kleur: roze, wit en lichtbruin." ,
 "Spoel met inslaggaren voor passement" , "Spoel in kunststof omwonden met polyester garen met de kleur mat wit." ,
 "Crête als ornament voor het vervaardigen van passement" , "Crête dans le pas. Kleur: rood en wit." ,
 "Kolenfornuis van het merk Les Fonderies Bruxelloises" , "Geëmailleerd kolenfornuis met oven en bordenwarmer. Van het merk Les Fonderies Bruxelloises." ,
 "Gland of kwast met 4 vormen, keel en rok" , "Kwast bestaande uit kabel, omgekeerde koepel gesatineerd met roulé-barré, geschroefde rol gesatineerd, bol gerold met passé en croix, geschroefde rol gesatineerd. Keel: plateau gesatineerd met rozetten. Rok: torse moulinée. Kleur: roze." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: chardon bouclé. Rok: torse moulinée. Kleur: beige." ,
 "Spoel met inslaggaren voor passement" , "Spoel in kunststof omwonden met viscose (of rayon) garen met de kleur nieuw jay blauw 150." ,
 "Doos stijfsel van het merk Souplex" , "Stijfsel van het merk Souplex. Geproduceerd door Stijfselfabriek De Bijenkorf nv. Verpakking van 130 gram. Met tekst in het Nederlands en in Frans en gebruiksaanwijzing op de zijkant van de doos." ,
 "Lamphouder voor hanglamp" , "Houder in witte porselein voor een elektrische lamp met E27 schroeffitting." ,
 "Automatische degelpers van het merk Heidelberg" , "Elektrisch aangedreven sneldruk degelpers met volautomatische papierinleg en zuigstangen van het merk Heidelberg Druckmaschinen AG. Verdeeld door Plantin NV te Brussel.
Chassisnr. 117290 N." ,
 "Cordelière met 2 kwasten" , "Trekkoord met twee kwasten, bestaande uit kabel: unie. Twee kwasten: zogenaamde gland mèche. Kleur: oranje, groen en geel." ,
 "Handkar, duivel of steekwagen om katoenbalen te verplaatsen" , "Volle houten wielen met metalen wielbanden, houten frame en twee metalen zijbeugels. Schepvlak verstevigd met metalen strips." ,
 "Tulipe in remplissage als onderdeel voor het vervaardigen van passement" , "Tulp bedoeld voor het decoreren van de ophanghaak van een luchter. Opgebouwd uit rol, gesatineerd met roulé-barré en diabolo gesatineerd waarrond chardon bouclé en zes tulpblaadjes in techniek remplissage op karton. Kleur: bruin en wit." ,
 "Tulipe in feuilles bourriche als onderdeel voor het vervaardigen van passement" , "Tulp bedoeld voor het decoreren van de ophanghaak van een luchter. Opgebouwd uit koepel, gesatineerd met roulé-barré en diabolo gesatineerd waarrond chardon bouclé en zes tulpblaadjes in techniek feuilles bourriche. Kleur: oranje en wit." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: turkse knoop, rol gesatineerd met rozetten, koepel gesatineerd met roulé-barré waartussen versieringen met dent de loup en knopen. Keel: rozetten. Rok: gesneden met jasminen van migrets en rozetten. Kleur: beigeen goudbruin." ,
 "Tulipe in feuilles bourriche als onderdeel voor het vervaardigen van passement" , "Tulp bedoeld voor het decoreren van de ophanghaak van een luchter. Opgebouwd uit koepel, gesatineerd en diabolo waarrond chardon bouclé en zes tulpblaadjes in techniek feuilles bourriche. Kleur: lichtgroen." ,
 "Tulipe in feuilles bourriche als onderdeel voor het vervaardigen van passement" , "Tulp bedoeld voor het decoreren van de ophanghaak van een luchter. Opgebouwd uit rol, gesatineerd met roulé-barré waarrond chardon bouclé en zes tulpblaadjes in techniek feuilles bourriche. Kleur: roze." ,
 "Tulipe in feuilles bourriche als onderdeel voor het vervaardigen van passement" , "Tulp bedoeld voor het decoreren van de ophanghaak van een luchter. Opgebouwd uit rol, gesatineerd met roulé-barré waarrond chardon bouclé en vijf tulpblaadjes in techniek feuilles bourriche. Kleur: groen." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse bestaande uit galon, met in midden ingewerkte kabel en noppen. Uiteinden met lus. Kleur: oker en donkerroze." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse bestaande uit galon, met in midden opgewerkte kabel. Uiteinden met lus. Kleur: oker." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse crête en forme. Uiteinden met lus. Kleur: lichtroze, wit en goudgeel." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse bestaande uit crête, versierd met rozetten. Onderaan met jasminen, uiteinden met lus. Kleur: beige." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse bestaande uit galon ajouré, met aan weerszijden decoratief draadwerk. Bovenaan met picots, onderaan rok met bouclée en mèches, uiteinden met lus. Kleur: bruin en veelkleurig." ,
 "Cordelière met kwast" , "Trekkoord met kwast, bestaande uit kabel: unie. Kwast: omgekeerde koepel gesatineerd, peer gesatineerd en gerold. Keel: gerold. rok: torse moulinée. Kleur: rood, geel en zwart." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse bestaande uit galon ajouré, aan weerszijden met afwisselend cirkelvormige en rechthoekige motieven. Uiteinden met lus. Kleur: blauw en bruin." ,
 "Effilé als onderdeel voor het vervaardigen van passement" , "Kop: galon armure avex apprêts met picots. Rok: unie. Kleur: roze en wit." ,
 "Macaron of rozet als onderdeel voor het vervaardigen van passement" , "Macaron guipure met chardon bouclé en in het midden een gevlochten knop. Kleur: blauw, grijs en roze." ,
 "Cordelière met kwast" , "Trekkoord met kwast, bestaande uit kabel: unie. Kwast: chardon bouclée, platte tamboer, gesatineerd met tros. Keel: chardon tondu. Rok: bouclée. Kleur: beige." ,
 "Monture de lustre" , "Montuur voor luchter, bestaande uit dikke kabel met tulp, kwast en versieringselement. Kabel: gerold. Tulp: halve bol gesatineerd met tros, diabolo gesatineerd, crête, 12 tulpblaadjes in feuilles bourriche. Kwast: olijf gesatineerd met tros met crête, keel: crête, rok: torse moulinée. Versieringselement: langwerpige olijf, gesatineerd met tros, beide zijden met crête. Kleur: groen-blauw met bruin." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline à picots met bourrelet. Kwast: koepel gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée. Kleur: donkerroze." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline met bourrelet en collier. Kwast: bol gesatineerd met tros, collier, klok gerold met tros. Keel: drie colliers. Rok: torse moulinée. Kleur: bruin en wit." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline met bourrelet en collier. Kwast: bol gesatineerd met tros, collier, klok gerold met tros. Keel: twee colliers. Rok: torse moulinée. Kleur: roze en wit." ,
 "Tulipe in remplissage als onderdeel voor het vervaardigen van passement" , "Tulp bedoeld voor het decoreren van de ophanghaak van een luchter. Opgebouwd uit bol, gesatineerd met tros waaraan kwast met turkse knoop en torse moulinée waarrond chardon bouclé en acht tulpblaadjes in techniek remplissage op karton. Kleur: goudbruin." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline à picots met bourrelet. Kwast: bol gesatineerd, diabolo gesatineerd, bol gesatineerd met roulé-barré. Rok: torse moulinée. Kleur: rood en wit." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron chardon bouclé. Kwast is zogenaamde gland mèche. Kleur: wit." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline met chardon bouclé. Kwast: chardon bouclé, koepel gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée met draden. Kleur: roze en blauwgrijs." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline met bourrelet. Kwast: chardon bouclé. Rok: torse moulinée. Kleur: blauw." ,
 "Cordelière met kwast" , "Trekkoord met kwast, bestaande uit kabel: roulé. Kwast: turkse knoop, bol gesatineerd met roulé-barré. Keel: diabolo gesatineerd. Rok: torse moulinée. Kleur: lichtblauw en lichtbruin." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline met chardon bouclé. Kwast: chardon bouclé, bol gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée met draden. Kleur: blauw, goud en wit." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline à picots met chardon bouclé. Kwast: rol met tros, tamboer gerold, bol gerold met passé en croix. Keel: chardon bouclé. Rok: gesneden, midden metalen tambour gesneden. Kleur: roze." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron chardon bouclé waarrond galon (genaaid op karton). Kwast: bol gerold met tros. Keel: chardon bouclé. Rok: torse moulinée met mèches. Kleur: lichtgeel en lichtblauw." ,
 "Macaron of rozet met kwast als onderdeel voor het vervaardigen van passement" , "Macaron giroline met bourrelet. Kwast: koepel gesatineerd met roulé-barré. Rok: torse moulinée. Kleur: rood." ,
 "Cordelière met kwast" , "Trekkoord met kwast, bestaande uit kabel: unie, kwast: kegel gesatineerd met tros, rok: met mèches. Kleur: geel." ,
 "Gland of kwast met vorm, keel en rok" , "Kwast bestaande uit lus, chardon bouclé, obus gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée. Kleur: blauw en grijs." ,
 "Embrasse om gordijn open te houden met 1 kwast" , "Embrasse bestaande uit kabel met sierknoop, kwast: bol gesatineerd. Keel: chardon bouclé. Rok: dubbele bouclée. Kleur: beige." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, bol met trommel gerold met passé en croix. Keel: chardon bouclé. Rok: gesneden met mèches. Kleur: geel en groen." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: chardon bouclé, trommel gerold met roulé-barré. Keel: chardon bouclé. Rok: bouclée. Kleur: blauw en wit." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, biseau gesatineerd met roulé-barré. Keel: gerold. Rok: torse moulinée met draden. Kleur: beige en lichtroze." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: omgekeerde koepel gesatineerd met roulé-barré, diabolo gesatineerd, rol gesatineerd, pain de sucre gesatineerd met roulé-barré, rol gesatineerd. Keel: chardon bouclé. Rok: torse moulinée. Kleur: groen en bruin." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, piaster gesatineerd met tros, chardon tondu, pain de sucre gesatineerd met tros. Keel: chardon tondu. Rok: bouclée met mèches. Kleur: lichtbruin en goud. Origineel label met prijsaanduiding van 10.525 fr. per stuk." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, radijs gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée met draden. Kleur: wit en lichtblauw." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: turkse knoop, rol met tros, peer gerold met tros. Keel: gerold. Rok: torse moulinée met draden. Kleur: lichtroze en lichtblauw." ,
 "Embrasse om gordijn open te houden met 1 kwast" , "Embrasse bestaande uit dubbele kabel met 3 turkse knopen, kwast: pain de sucre, gerold met roulé-barré. Keel: charden bouclé. Rok: torse moulinée. Kleur: bruin en zwart." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: turkse knoop en vorm gesatineerd met tros. Rok: torse moulinée. Kleur: wit." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, bol gesatineerd met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: rood." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: bol gesatineerd, koepel gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée met draden. Kleur: geel en wit." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, bol gesatineerd met roulé-barré. Rok: gesneden. Kleur: roze." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: zogenaamde gland mèches met chardon bouclé. Kleur: bruin." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: flèche gesatineerd met tros, bol gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée. Kleur: groen en lichtbruin." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, radijs gesatineerd met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: blauw, rood en wit; kabel: geel en wit." ,
