 "title" , "beschrijving" ,
 "Garuda" , "Als reactie tegen het modieuze gebruik van metaalglazuren experimenteerde Carmen Dionyse vanaf 1965 met lichte, heldere glazuren. Ze creëerde onder meer paarse, groene, gele en witte glazuren, roestglazuren, korstglazuren en kristalglazuren. Deze variëteit wendde ze aan in een reeks mythologisch geïnspireerde bustes in ruw uitgewerkte klei. Deze buste van de mensvogel Garuda, een wezen uit de hindoeïstische mythologie, bestaat uit hooggebrand wit aardewerk met gekleurd korst- en kristalglazuur. Op de borstkas komen paarse, witte, bruine, beige en gele glazuren voor. Op de kap vallen de mosgroene en blauwe kleuren op. De ruwe kleirepen geven het gezicht een maskerachtig karakter." ,
 "Paneel met centraal portretmedaillon" , "Massief paneel met vrouwenportret in een centraal medaillon. Het eenvoudige medaillon is omgeven door arabesken." ,
 "Secrétaire à abattant in empirestijl" , "Deze 'secrétaire à abattant' is zowel een schrijf- als een bergmeubel. In gesloten toestand is het geheel blokvormig met vlakke zijden, voornamelijk versierd door het beslag met kransmotief en de overhoeks geplaatste zuilen in empirestijl. Het schrijfblad, dat de bovenkast afsluit, kan worden neergelaten ('à abattant') waardoor verschillende kleine lades en vakjes tevoorschijn komen. Deze en vaak ook verborgen laatjes, bewaarden allerlei schrijfbenodigdheden en geheimen, zogenaamde 'secrets', waaraan het meubel zijn naam dankt. Dit type bureau werd heel populair in de tweede helft van de 18de eeuw en in de eerste decennia van de 19de eeuw. Vergelijkbare meubels zijn te vinden in de collecties van Letterenhuis in Antwerpen, Museum Kunst & Geschiedenis in Brussel en Victoria and Albert Museum in Londen." ,
 "Spaanse mansstoel met siernagels en leeuwenkoppen" , "Deze stoel heeft een hoge zitting en een lange rugleuning, wat kenmerkend is voor stoelen uit de barok. De statige stoel dankt zijn uitstraling aan de lederen bekleding die werd vastgemaakt met metalen nagels en de twee leeuwenkopjes die de achterpoten bekronen. De stoffeernagels met verschillende maten zijn in decoratieve bloemen aangebracht. De achterpoten lopen zonder onderbreking door in de stijlen van de rugleuning. De lederen zitting is in het midden versierd met een vierkant. Enkele onderdelen zoals de voorsport werden vermoedelijk vernieuwd. Een Spaanse stoel dankt zijn naam aan de lederen bekleding die oorspronkelijk uit het Spaanse Cordoba kwam. Omdat de Nederlanden onder Spaans bewind stonden, kwamen de stoelen er vaak voor. Vergelijkbare stoelen zijn te vinden in de collecties van Museum Vleeshuis in Antwerpen, het Gruuthusemuseum in Brugge, Museum Kunst & Geschiedenis in Brussel, Museum Hof van Busleyden in Mechelen en MOU in Oudenaarde." ,
 "Vogue" , "Deze gordijnstof in linnenbinding heeft een patroon met kruisende banden op een witte achtergrond. De banden zijn samengesteld uit stroken in wit, beige, oranje en tinten bruin volgens gebogen en krullende lijnen. Hierbij overlappen ze elkaar. De kleurencombinatie was typisch voor die periode." ,
 "Secrétaire à abattant in empirestijl" , "Deze 'secrétaire à abattant' is zowel een schrijf- als een bergmeubel. In gesloten toestand is het geheel blokvormig met vlakke zijden, voornamelijk versierd door het beslag en de zuilen in empirestijl. Het schrijfblad, dat de bovenkast afsluit, kan worden neergelaten ('à abattant') waardoor verschillende kleine lades en vakjes tevoorschijn komen. Deze en vaak ook verborgen laatjes, bewaarden allerlei schrijfbenodigdheden en geheimen, zogenaamde 'secrets', waaraan het meubel zijn naam dankt. Dit type bureau werd heel populair in de tweede helft van de 18de eeuw en in de eerste decennia van de 19de eeuw." ,
 "Secrétaire à abattant in empirestijl" , "Deze 'secrétaire à abattant' is zowel een schrijf- als een bergmeubel. In gesloten toestand is het geheel blokvormig met vlakke zijden, voornamelijk versierd door het beslag en de zuilen in empirestijl. Het schrijfblad, dat de bovenkast afsluit, kan worden neergelaten ('à abattant') waardoor verschillende kleine lades en vakjes tevoorschijn komen. Deze en vaak ook verborgen laatjes, bewaarden allerlei schrijfbenodigdheden en geheimen, zogenaamde 'secrets', waaraan het meubel zijn naam dankt. Dit type bureau werd heel populair in de tweede helft van de 18de eeuw en in de eerste decennia van de 19de eeuw." ,
 "Theepot van het servies 'How Much White'" , "Het witte porseleinen servies ‘How Much White’ maakt deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde. How Much White werd opgevolgd door de serviezen ‘How Many Stars’ en ‘How Many Colors’." ,
 "Anna Stop 1" , "De ‘Anna Stop 1’ maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het fenomeen van de designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de kurkentrekker 'Anna G.', de rasp ‘Anna Cheese’ en de keukenwekker ‘Anna Time’. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "HD 2003" , "De lichtgroene vruchtenpers behoort tot de ‘Philips by Alessi’-lijn voor keukengerei. In dezelfde lijn verschenen ook een broodrooster, een koffiezettoestel en een waterkoker. Al de toestellen hebben zachte kleuren en ronde vormen. Het project werd uitgevoerd in overleg met Alessandro Mendini en de ontwerpers van het Philips Corporate Design team, onder leiding van Stefano Marzano. Het opzet was om het experimentele design en vakmanschap van Alessi te combineren met de hoogontwikkelde technologie van Philips. De lijn zette Philips op de kaart als een bedrijf dat het ontwerp van het product hoog aanschreef en toonde de mogelijkheden van een samenwerking tussen beide bedrijven. Men vond het belangrijk dat de objecten persoonlijk en menselijk aanvoelden, aangezien de keuken al te zeer een geautomatiseerde en functionele wereld was geworden. In alle ontwerpen werd gelet op duurzaamheid, efficiëntie, betrouwbaarheid en de 'warmte' van het ontwerp. De vruchtenpers bestaat uit een perskegel, zeef en motorgedeelte. Het snoer kan in het toestel opgeborgen worden." ,
 "Anna Stop 2" , "De ‘Anna Stop 2’ maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het fenomeen van de designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de kurkentrekker 'Anna G.', de rasp ‘Anna Cheese’ en de keukenwekker ‘Anna Time’. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "Anna Harlequin" , "Het keramisch beeld ‘Anna Harlequin’ is het pendant van het beeld ‘Alessandro Harlequin’. Net als de succesvolle reeks voor keukengerei ‘Anna-G’ is deze sculptuur met het lachende gezicht geïnspireerd op Anna Gili. Zij was een bevriende ontwerper en medewerker in het atelier van Alessandro Mendini. Mendini maakte speelse en humoristische objecten als reactie op het louter functionele en rationele. Met zijn ‘speelgoed voor volwassenen’ streefde hij naar poëzie en emotie in het gebruik van alledaagse voorwerpen." ,
 "Kandissi" , "Kandissi maakt deel uit van de reeks ‘Redesign’ van Studio Alchimia. Alessandro Mendini gebruikte de term ‘redesign’ voor zijn eigen ontwerppraktijk, gekenmerkt door hergebruik, assemblage en decoratie van zowel bekend als anonieme meubelmodellen. Hij assembleerde zogenaamde stilemen, terugkerende vormen en tekens uit bestaande ontwerpen, tot een nieuwe ontwerp dat nieuwe betekenissen genereert en het begrip ‘originaliteit’ bevraagt. Op die manier gaf hij uitdrukking aan de maatschappij van overvloed en snel wisselende trends. Kandissi is geïnspireerd op een sofa in Biedermeierstijl en bekleed met een stof die verwijst naar de kleurrijke en abstracte beeldtaal van de schilder Wassily Kandinsky. De sofa is onderdeel van het Kandissi-trio, samen met een spiegel en een wandkleed." ,
 "Melkannetje van het servies 'How Much White'" , "Het witte porseleinen servies ‘How Much White’ maakt deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde. How Much White werd opgevolgd door de serviezen ‘How Many Stars’ en ‘How Many Colors’." ,
 "Anna G." , "De kurkentrekker ‘Anna G’ maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het fenomeen van de designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de rasp ‘Anna Cheese’, de keukenwekker ‘Anna Time’ en de aansteker 'Anna Light'. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "Anna G." , "De kurkentrekker ‘Anna G’ maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het fenomeen van de designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de rasp ‘Anna Cheese’, de keukenwekker ‘Anna Time’ en de aansteker 'Anna Light'. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "Bord van het servies 'How Many Stars'" , "Het porseleinen servies ‘How Many Stars' met blauwe sterren en goudkleurige randen is een gedecoreerde versie van het witte servies 'How Much White'. Beide serviezen maken deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde." ,
 "Anna Cheese" , "De kaasrasp 'Anna Cheese' maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de kurkentrekker 'Anna G.', de keukenwekker ‘Anna Time’ en de aansteker 'Anna Light'. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "Anna Pepper" , "De pepermolen 'Anna Pepper' maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het fenomeen van de designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de kurkentrekker 'Anna G.', de keukenwekker ‘Anna Time’ en de rasp 'Anna Cheese'. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "Anna Candle" , "De kandelaar 'Anna Candle' maakt deel uit van de reeks ‘Anna G.’ van Alessandro Mendini, ontwerper en adviseur van Alessi. Vanaf de jaren 1970 gaven zij vorm aan het fenomeen van de designfabriek, waar design raakt aan kunst en poëzie. Vanuit die visie ontwierp Mendini verschillende objectfamilies, waaronder de succesvolle reeks ‘Anna G’. Het keukengerei met lachende vrouwenhoofdjes was een hommage aan Anna Gili, een bevriende ontwerper en medewerker van Mendini. Tot de reeks behoren onder andere ook de kurkentrekker 'Anna G.', de keukenwekker ‘Anna Time’ en de aansteker 'Anna Light'. Mendini ontwierp speelse gebruiksvoorwerpen met een menselijk aspect, die plezier brachten in het alledaagse gebruik." ,
 "Schrijfkist in Louis XV-stijl" , "Deze schrijfkist of 'schrijflaey' heeft binnenin drie lades. De buitenkant is versierd met eenvoudige rococovormen. Schrijfkisten zoals deze konden makkelijk worden verplaatst en meegenomen zoals een hedendaagse laptop.  " ,
